weapon,gender,season,category,pool_weight,alpha,rho_vs_baseline,n_fencers
Foil,Womens,2014/2015,Senior,0.1,0.85,0.9958,437
Foil,Womens,2015/2016,Senior,0.1,0.85,0.9956,443
Foil,Womens,2016/2017,Senior,0.1,0.85,0.9961,470
Foil,Womens,2017/2018,Senior,0.1,0.85,0.9971,543
Foil,Womens,2018/2019,Senior,0.1,0.85,0.997,542
Foil,Womens,2019/2020,Senior,0.1,0.85,0.9959,455
Foil,Womens,2020/2021,Senior,0.1,0.85,0.9921,169
Foil,Womens,2021/2022,Senior,0.1,0.85,0.9962,465
Foil,Womens,2022/2023,Senior,0.1,0.85,0.997,587
Foil,Womens,2023/2024,Senior,0.1,0.85,0.9963,655
Foil,Womens,2024/2025,Senior,0.1,0.85,0.9966,727
Foil,Womens,2025/2026,Senior,0.1,0.85,0.9961,739
Foil,Womens,2014/2015,Senior,0.5,0.85,0.9932,437
Foil,Womens,2015/2016,Senior,0.5,0.85,0.9935,443
Foil,Womens,2016/2017,Senior,0.5,0.85,0.9935,470
Foil,Womens,2017/2018,Senior,0.5,0.85,0.9951,543
Foil,Womens,2018/2019,Senior,0.5,0.85,0.9946,542
Foil,Womens,2019/2020,Senior,0.5,0.85,0.9935,455
Foil,Womens,2020/2021,Senior,0.5,0.85,0.9782,169
Foil,Womens,2021/2022,Senior,0.5,0.85,0.994,465
Foil,Womens,2022/2023,Senior,0.5,0.85,0.9955,587
Foil,Womens,2023/2024,Senior,0.5,0.85,0.9941,655
Foil,Womens,2024/2025,Senior,0.5,0.85,0.9943,727
Foil,Womens,2025/2026,Senior,0.5,0.85,0.9933,739
Foil,Womens,2014/2015,Senior,1.0,0.85,0.9818,437
Foil,Womens,2015/2016,Senior,1.0,0.85,0.9837,443
Foil,Womens,2016/2017,Senior,1.0,0.85,0.9838,470
Foil,Womens,2017/2018,Senior,1.0,0.85,0.9862,543
Foil,Womens,2018/2019,Senior,1.0,0.85,0.9862,542
Foil,Womens,2019/2020,Senior,1.0,0.85,0.9822,455
Foil,Womens,2020/2021,Senior,1.0,0.85,0.937,169
Foil,Womens,2021/2022,Senior,1.0,0.85,0.9838,465
Foil,Womens,2022/2023,Senior,1.0,0.85,0.9885,587
Foil,Womens,2023/2024,Senior,1.0,0.85,0.9851,655
Foil,Womens,2024/2025,Senior,1.0,0.85,0.9851,727
Foil,Womens,2025/2026,Senior,1.0,0.85,0.9834,739
Foil,Womens,2014/2015,Senior,0.2,0.9,0.9984,437
Foil,Womens,2015/2016,Senior,0.2,0.9,0.9986,443
Foil,Womens,2016/2017,Senior,0.2,0.9,0.9984,470
Foil,Womens,2017/2018,Senior,0.2,0.9,0.9988,543
Foil,Womens,2018/2019,Senior,0.2,0.9,0.9989,542
Foil,Womens,2019/2020,Senior,0.2,0.9,0.9985,455
Foil,Womens,2020/2021,Senior,0.2,0.9,0.9993,169
Foil,Womens,2021/2022,Senior,0.2,0.9,0.9988,465
Foil,Womens,2022/2023,Senior,0.2,0.9,0.999,587
Foil,Womens,2023/2024,Senior,0.2,0.9,0.9991,655
Foil,Womens,2024/2025,Senior,0.2,0.9,0.9986,727
Foil,Womens,2025/2026,Senior,0.2,0.9,0.9985,739
Epee,Womens,2014/2015,Senior,0.1,0.85,0.9964,663
Epee,Womens,2015/2016,Senior,0.1,0.85,0.9966,649
Epee,Womens,2016/2017,Senior,0.1,0.85,0.9962,737
Epee,Womens,2017/2018,Senior,0.1,0.85,0.9961,749
Epee,Womens,2018/2019,Senior,0.1,0.85,0.9968,813
Epee,Womens,2019/2020,Senior,0.1,0.85,0.9958,688
Epee,Womens,2020/2021,Senior,0.1,0.85,0.993,233
Epee,Womens,2021/2022,Senior,0.1,0.85,0.9954,558
Epee,Womens,2022/2023,Senior,0.1,0.85,0.9966,788
Epee,Womens,2023/2024,Senior,0.1,0.85,0.9968,740
Epee,Womens,2024/2025,Senior,0.1,0.85,0.9959,830
Epee,Womens,2025/2026,Senior,0.1,0.85,0.9958,929
Epee,Womens,2014/2015,Senior,0.5,0.85,0.9944,663
Epee,Womens,2015/2016,Senior,0.5,0.85,0.9944,649
Epee,Womens,2016/2017,Senior,0.5,0.85,0.9937,737
Epee,Womens,2017/2018,Senior,0.5,0.85,0.9935,749
Epee,Womens,2018/2019,Senior,0.5,0.85,0.9952,813
Epee,Womens,2019/2020,Senior,0.5,0.85,0.9933,688
Epee,Womens,2020/2021,Senior,0.5,0.85,0.9831,233
Epee,Womens,2021/2022,Senior,0.5,0.85,0.9919,558
Epee,Womens,2022/2023,Senior,0.5,0.85,0.9943,788
Epee,Womens,2023/2024,Senior,0.5,0.85,0.9956,740
Epee,Womens,2024/2025,Senior,0.5,0.85,0.9935,830
Epee,Womens,2025/2026,Senior,0.5,0.85,0.9935,929
Epee,Womens,2014/2015,Senior,1.0,0.85,0.9857,663
Epee,Womens,2015/2016,Senior,1.0,0.85,0.9846,649
Epee,Womens,2016/2017,Senior,1.0,0.85,0.9836,737
Epee,Womens,2017/2018,Senior,1.0,0.85,0.9821,749
Epee,Womens,2018/2019,Senior,1.0,0.85,0.9871,813
Epee,Womens,2019/2020,Senior,1.0,0.85,0.9811,688
Epee,Womens,2020/2021,Senior,1.0,0.85,0.9439,233
Epee,Womens,2021/2022,Senior,1.0,0.85,0.9764,558
Epee,Womens,2022/2023,Senior,1.0,0.85,0.9849,788
Epee,Womens,2023/2024,Senior,1.0,0.85,0.9885,740
Epee,Womens,2024/2025,Senior,1.0,0.85,0.9832,830
Epee,Womens,2025/2026,Senior,1.0,0.85,0.983,929
Epee,Womens,2014/2015,Senior,0.2,0.9,0.9985,663
Epee,Womens,2015/2016,Senior,0.2,0.9,0.9986,649
Epee,Womens,2016/2017,Senior,0.2,0.9,0.9983,737
Epee,Womens,2017/2018,Senior,0.2,0.9,0.9981,749
Epee,Womens,2018/2019,Senior,0.2,0.9,0.9987,813
Epee,Womens,2019/2020,Senior,0.2,0.9,0.9985,688
Epee,Womens,2020/2021,Senior,0.2,0.9,0.9996,233
Epee,Womens,2021/2022,Senior,0.2,0.9,0.9988,558
Epee,Womens,2022/2023,Senior,0.2,0.9,0.9988,788
Epee,Womens,2023/2024,Senior,0.2,0.9,0.9988,740
Epee,Womens,2024/2025,Senior,0.2,0.9,0.9985,830
Epee,Womens,2025/2026,Senior,0.2,0.9,0.9985,929
Sabre,Womens,2014/2015,Senior,0.1,0.85,0.9956,496
Sabre,Womens,2015/2016,Senior,0.1,0.85,0.9953,481
Sabre,Womens,2016/2017,Senior,0.1,0.85,0.9971,407
Sabre,Womens,2017/2018,Senior,0.1,0.85,0.9963,439
Sabre,Womens,2018/2019,Senior,0.1,0.85,0.9976,478
Sabre,Womens,2019/2020,Senior,0.1,0.85,0.9957,371
Sabre,Womens,2020/2021,Senior,0.1,0.85,0.9932,208
Sabre,Womens,2021/2022,Senior,0.1,0.85,0.9972,426
Sabre,Womens,2022/2023,Senior,0.1,0.85,0.9975,442
Sabre,Womens,2023/2024,Senior,0.1,0.85,0.9968,444
Sabre,Womens,2024/2025,Senior,0.1,0.85,0.9971,532
Sabre,Womens,2025/2026,Senior,0.1,0.85,0.9964,609
Sabre,Womens,2014/2015,Senior,0.5,0.85,0.9926,496
Sabre,Womens,2015/2016,Senior,0.5,0.85,0.9938,481
Sabre,Womens,2016/2017,Senior,0.5,0.85,0.9953,407
Sabre,Womens,2017/2018,Senior,0.5,0.85,0.9955,439
