season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2015/2016,Epee,Mens,Cadet,0.7895,2.150835935220211e-07,0.8714,3.717063196420939e-10,0.9221,4.559200327210238e-13,30
2016/2017,Epee,Mens,Cadet,0.839,5.768458264159035e-10,0.8872,2.767763387618462e-12,0.9114,7.007428655908547e-14,34
2017/2018,Epee,Mens,Cadet,0.757,3.1305225732758375e-06,0.8533,7.94380630532375e-09,0.9184,5.6435768137394314e-12,28
2018/2019,Epee,Mens,Cadet,0.9398,1.2346348148227917e-13,0.9124,1.3758352890421745e-11,0.9075,2.723498648084933e-11,28
2020/2021,Epee,Mens,Cadet,0.4228,0.0713048184878965,0.2772,0.25058889481209135,0.8842,5.097789186801276e-07,19
2024/2025,Epee,Mens,Cadet,0.7568,1.1677463991997494e-09,0.9052,5.803006222910512e-18,0.8223,2.4370208903452567e-12,46
2025/2026,Epee,Mens,Cadet,0.8934,1.8876419950226434e-49,0.8678,1.907088431619487e-43,0.8884,3.656539448997896e-48,139
2014/2015,Epee,Mens,Junior,0.583,2.994761557397053e-22,0.5301,5.416378366295655e-18,0.9488,1.502176479122468e-115,229
2015/2016,Epee,Mens,Junior,0.5514,5.030765838537301e-18,0.4956,2.3555830978673823e-14,0.9373,1.0967365761613602e-96,209
2016/2017,Epee,Mens,Junior,0.6021,7.191501685815771e-16,0.5702,4.760672152334076e-14,0.9206,4.2710370723591976e-61,147
2017/2018,Epee,Mens,Junior,0.66,1.2498971118006828e-24,0.624,1.8262906563424776e-21,0.9416,6.1511134773591325e-89,186
2018/2019,Epee,Mens,Junior,0.7991,1.2246364519709495e-47,0.7641,2.7954560229680417e-41,0.933,7.409305335993785e-94,209
2019/2020,Epee,Mens,Junior,0.7756,5.232772790574367e-38,0.7318,5.765847443028712e-32,0.8993,6.24782104060746e-67,183
2020/2021,Epee,Mens,Junior,0.9113,2.336013177330961e-08,0.9128,2.014185827066197e-08,0.9729,6.714944202233499e-13,20
2021/2022,Epee,Mens,Junior,0.7686,4.9777331372882785e-34,0.7778,2.628888215991639e-35,0.9475,4.0671962819551495e-84,168
2022/2023,Epee,Mens,Junior,0.8133,7.720243897344824e-59,0.8024,3.5142938753448084e-56,0.9455,6.032266716892016e-120,244
2023/2024,Epee,Mens,Junior,0.7732,5.618951010821979e-48,0.7963,9.058248618398492e-53,0.9436,7.914745777898475e-114,235
2024/2025,Epee,Mens,Junior,0.7812,1.2916008485652753e-58,0.7555,8.290052145775377e-53,0.9405,7.613724150172718e-132,279
2025/2026,Epee,Mens,Junior,0.7845,2.7359528995233906e-76,0.7494,4.508437816501938e-66,0.9513,4.3876250746422024e-185,360
2014/2015,Epee,Mens,Senior,0.7169,2.746919598169061e-183,0.6593,2.3628446264818374e-145,0.9572,0.0,1158
2015/2016,Epee,Mens,Senior,0.7634,1.8374627963644607e-187,0.7294,3.865063503186828e-163,0.9568,0.0,978
2016/2017,Epee,Mens,Senior,0.7651,2.5446287199110414e-204,0.7324,1.1589913515892199e-178,0.9609,0.0,1059
2017/2018,Epee,Mens,Senior,0.7458,1.2137430324099137e-185,0.6994,7.376148648690239e-154,0.9582,0.0,1042
2018/2019,Epee,Mens,Senior,0.8283,1.1508188281591197e-258,0.8034,1.125174428740437e-231,0.9601,0.0,1021
2019/2020,Epee,Mens,Senior,0.8442,8.30223793876976e-206,0.8571,7.618849195832462e-219,0.9582,0.0,754
2020/2021,Epee,Mens,Senior,0.4508,5.120427704154826e-14,0.4578,1.8625956985429424e-14,0.8948,1.6038009935529223e-89,252
2021/2022,Epee,Mens,Senior,0.9125,3.210678324408967e-262,0.8803,3.700902071004207e-219,0.9581,0.0,672
2022/2023,Epee,Mens,Senior,0.8762,0.0,0.8609,0.0,0.9533,0.0,1075
2023/2024,Epee,Mens,Senior,0.864,3.4919826773342426e-281,0.8404,3.1031736948599845e-251,0.9589,0.0,938
2024/2025,Epee,Mens,Senior,0.8493,1.1182999757375355e-296,0.8458,8.376119053018441e-292,0.9605,0.0,1063
2025/2026,Epee,Mens,Senior,0.8298,9.246146029089536e-308,0.8172,7.056666270923208e-291,0.9554,0.0,1208
2015/2016,Epee,Mens,Veterans,0.8275,1.0863652975298696e-39,0.8724,8.553839536000285e-49,0.8427,1.911408634601925e-42,153
2016/2017,Epee,Mens,Veterans,0.8764,6.584337327497385e-54,0.8996,6.9749290248956e-61,0.9109,5.893896944838082e-65,166
2023/2024,Epee,Mens,Veterans,0.6988,1.6855410641956863e-25,0.788,3.6856378038508186e-36,0.8906,1.1387285483352558e-57,165
2024/2025,Epee,Mens,Veterans,0.7148,5.110854514552115e-31,0.6937,1.3563554634157675e-28,0.8887,1.4401729192262745e-65,190
2015/2016,Epee,Womens,Cadet,0.7585,0.00026364612959071287,0.903,2.8975155060171095e-07,0.8555,6.005632918162659e-06,18
2016/2017,Epee,Womens,Cadet,0.9252,5.319609335264897e-09,0.9545,6.734595404306708e-11,0.9338,1.8126865423587169e-09,20
2017/2018,Epee,Womens,Cadet,0.8727,2.472856989509211e-07,0.9312,9.098173008699928e-10,0.8117,7.95095668354559e-06,21
2018/2019,Epee,Womens,Cadet,0.8744,5.711090628866662e-10,0.8995,3.275127544491619e-11,0.8724,6.961487753097761e-10,29
2020/2021,Epee,Womens,Cadet,-0.3357,0.28612290291498743,-0.3077,0.33058925941210965,0.958,9.543581826838402e-07,12
2024/2025,Epee,Womens,Cadet,0.8854,7.379532133817158e-13,0.9498,9.903726759031988e-19,0.9125,9.398208472882594e-15,36
2025/2026,Epee,Womens,Cadet,0.8384,1.1416219068821143e-37,0.8844,7.749568024777637e-47,0.8851,5.134496861130857e-47,138
