fie_season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2015/2016,Epee,Mens,Cadet,0.789,2.2212148428546952e-07,0.8714,3.717063196420939e-10,0.9221,4.586623771289077e-13,30
2016/2017,Epee,Mens,Cadet,0.84,5.255406935834884e-10,0.8872,2.767763387618462e-12,0.9108,7.784590852734868e-14,34
2017/2018,Epee,Mens,Cadet,0.7568,3.1557850724085765e-06,0.8533,7.94380630532375e-09,0.9183,5.7732455395999794e-12,28
2018/2019,Epee,Mens,Cadet,0.9504,1.0593958373470888e-14,0.9124,1.3758352890421745e-11,0.9278,1.2282234164321441e-12,28
2020/2021,Epee,Mens,Cadet,0.4228,0.0713048184878965,0.2772,0.25058889481209135,0.8842,5.097789186801276e-07,19
2024/2025,Epee,Mens,Cadet,0.7576,1.0956360145452863e-09,0.9052,5.803006222910512e-18,0.822,2.518182874119878e-12,46
2025/2026,Epee,Mens,Cadet,0.8928,2.753104523186055e-49,0.8678,1.907088431619487e-43,0.8887,3.018928688105591e-48,139
2014/2015,Epee,Mens,Junior,0.5858,1.7035009474464928e-22,0.5301,5.416378366295655e-18,0.9511,8.407518165022301e-118,229
2015/2016,Epee,Mens,Junior,0.5522,4.4255545972763e-18,0.4956,2.3555830978673823e-14,0.9383,2.1912814937008477e-97,209
2016/2017,Epee,Mens,Junior,0.6073,3.4815993161182258e-16,0.5702,4.760672152334076e-14,0.9205,4.915860908761184e-61,147
2017/2018,Epee,Mens,Junior,0.6694,1.553661667248106e-25,0.624,1.8262906563424776e-21,0.9424,2.0314519487978876e-89,186
2018/2019,Epee,Mens,Junior,0.7979,2.1295888948652002e-47,0.7641,2.7954560229680417e-41,0.9338,2.55075134260566e-94,209
2019/2020,Epee,Mens,Junior,0.7791,1.480507436999897e-38,0.7318,5.765847443028712e-32,0.8997,4.5346129313688187e-67,183
2020/2021,Epee,Mens,Junior,0.9142,1.7546374849184385e-08,0.9128,2.014185827066197e-08,0.9714,1.1006743373408062e-12,20
2021/2022,Epee,Mens,Junior,0.7723,1.5616677140212407e-34,0.7778,2.628888215991639e-35,0.9478,2.5785358027534047e-84,168
2022/2023,Epee,Mens,Junior,0.8127,1.1002246553297074e-58,0.8024,3.5142938753448084e-56,0.9487,5.6537833601153606e-123,244
2023/2024,Epee,Mens,Junior,0.7795,3.0424161606910723e-49,0.7963,9.058248618398492e-53,0.9465,1.777247096336829e-116,235
2024/2025,Epee,Mens,Junior,0.7802,2.2535149479692647e-58,0.7555,8.290052145775377e-53,0.9428,3.2016403714619086e-134,279
2025/2026,Epee,Mens,Junior,0.7804,5.385235619360367e-75,0.7494,4.521477357932699e-66,0.953,1.069099298950111e-187,360
2014/2015,Epee,Mens,Senior,0.7173,1.3689911466928885e-183,0.6593,2.359474940306789e-145,0.9574,0.0,1158
2015/2016,Epee,Mens,Senior,0.763,3.542799561866509e-187,0.7294,3.869677207292917e-163,0.9571,0.0,978
2016/2017,Epee,Mens,Senior,0.7661,4.106452175527124e-205,0.7324,1.1542413356361458e-178,0.9613,0.0,1059
2017/2018,Epee,Mens,Senior,0.7466,2.695268775466483e-186,0.6994,7.375830909369028e-154,0.9583,0.0,1042
2018/2019,Epee,Mens,Senior,0.8288,3.6439771204642367e-259,0.8034,1.125174428740437e-231,0.9604,0.0,1021
2019/2020,Epee,Mens,Senior,0.8444,4.86540510348043e-206,0.8571,7.636010827481522e-219,0.9586,0.0,754
2020/2021,Epee,Mens,Senior,0.4566,2.210385342227049e-14,0.4578,1.8644986814143754e-14,0.8953,8.530679786844888e-90,252
2021/2022,Epee,Mens,Senior,0.9128,1.026960904986758e-262,0.8803,3.7000503785996277e-219,0.959,0.0,672
2022/2023,Epee,Mens,Senior,0.8774,0.0,0.8609,0.0,0.9537,0.0,1075
2023/2024,Epee,Mens,Senior,0.8647,4.2568993910563526e-282,0.8404,3.1065192092456905e-251,0.9593,0.0,938
2024/2025,Epee,Mens,Senior,0.8505,2.22387853383389e-298,0.8458,8.404829823559258e-292,0.9613,0.0,1063
2025/2026,Epee,Mens,Senior,0.8311,1.467213296121964e-309,0.8172,7.060024059961991e-291,0.9559,0.0,1208
2015/2016,Epee,Mens,Veterans,0.8273,1.2069927385915354e-39,0.8724,8.553839536000285e-49,0.8427,1.8733338919134943e-42,153
2016/2017,Epee,Mens,Veterans,0.8768,5.170619069576382e-54,0.8996,6.9749290248956e-61,0.9117,3.1073217376030414e-65,166
2023/2024,Epee,Mens,Veterans,0.6992,1.5476260815707197e-25,0.788,3.6856378038508186e-36,0.8908,1.0463420922833578e-57,165
2024/2025,Epee,Mens,Veterans,0.7133,7.639741334585199e-31,0.6937,1.3563554634157675e-28,0.8887,1.452046061654791e-65,190
2015/2016,Epee,Womens,Cadet,0.7585,0.00026364612959071287,0.903,2.8975155060171095e-07,0.8555,6.005632918162659e-06,18
2016/2017,Epee,Womens,Cadet,0.9307,2.7246643929690386e-09,0.9545,6.734595404306708e-11,0.9409,6.697973758977964e-10,20
2017/2018,Epee,Womens,Cadet,0.8706,2.868329547477204e-07,0.9312,9.098173008699928e-10,0.8111,8.159302044138887e-06,21
2018/2019,Epee,Womens,Cadet,0.8742,5.791823387305303e-10,0.8995,3.275127544491619e-11,0.8723,7.058438831026159e-10,29
2020/2021,Epee,Womens,Cadet,-0.3669,0.24079459936900877,-0.3077,0.33058925941210965,0.9806,2.0747220631791398e-08,12
2024/2025,Epee,Womens,Cadet,0.8863,6.566588278618564e-13,0.9498,9.903726759031988e-19,0.9131,8.419790212641067e-15,36
2025/2026,Epee,Womens,Cadet,0.8393,8.229750242537629e-38,0.8844,7.749568024777637e-47,0.8859,3.358010393069883e-47,138
2014/2015,Epee,Womens,Junior,0.7038,9.666200467210509e-21,0.6863,2.0162416216079701e-19,0.9339,5.084240237450578e-59,130
2015/2016,Epee,Womens,Junior,0.7694,1.9633000630029382e-29,0.7144,8.972521763795906e-24,0.9486,7.493248500227889e-73,144
2016/2017,Epee,Womens,Junior,0.7725,1.3620117137970328e-30,0.6877,4.762868772341153e-22,0.9326,1.7810477111268346e-66,148
2017/2018,Epee,Womens,Junior,0.6454,9.44682560984172e-20,0.6254,2.5946573913083684e-18,0.9267,2.5333184597587888e-67,156
2018/2019,Epee,Womens,Junior,0.7664,2.4515578836895534e-27,0.7801,7.288973180855238e-29,0.9412,1.4949072470115555e-64,135
2019/2020,Epee,Womens,Junior,0.7432,8.4846195627642e-19,0.7267,1.1420025736245768e-17,0.9235,1.464757361617659e-42,100
2020/2021,Epee,Womens,Junior,0.745,0.00016407395988068997,0.8271,6.884217225021655e-06,0.9239,6.178560616909568e-09,20
2021/2022,Epee,Womens,Junior,0.6998,1.1345089737598067e-23,0.6624,1.4798438652644362e-20,0.9076,2.0162727802219317e-58,152
2022/2023,Epee,Womens,Junior,0.8116,2.7243767969467673e-45,0.8007,2.9595141715997873e-43,0.9553,2.181005108666308e-100,188
2023/2024,Epee,Womens,Junior,0.6972,4.37640438580496e-27,0.7061,5.02933422634744e-28,0.9257,8.317458961171146e-76,177
2024/2025,Epee,Womens,Junior,0.7484,6.8323926399079376e-43,0.7483,6.97949621373635e-43,0.9447,2.488134527665881e-113,232
2025/2026,Epee,Womens,Junior,0.7248,1.7512864635441644e-49,0.7227,4.3871621324025446e-49,0.9395,7.343257512533535e-139,296
2014/2015,Epee,Womens,Senior,0.7762,1.6473758429013012e-132,0.724,4.225094596253759e-107,0.9694,0.0,653
2015/2016,Epee,Womens,Senior,0.8181,6.09914018688936e-155,0.761,1.2948834979926586e-121,0.9597,0.0,638
2016/2017,Epee,Womens,Senior,0.8149,3.106033044090605e-172,0.7946,9.997239283588919e-158,0.9572,0.0,720
2017/2018,Epee,Womens,Senior,0.8082,1.791959158807156e-173,0.7802,5.80803021785348e-154,0.9641,0.0,747
2018/2019,Epee,Womens,Senior,0.8559,1.4153838892628438e-227,0.8259,4.4024026418045845e-198,0.9638,0.0,789
2019/2020,Epee,Womens,Senior,0.8132,1.808214749035085e-154,0.8125,5.427406909748907e-154,0.9565,0.0,650
2020/2021,Epee,Womens,Senior,0.4546,7.121882011613657e-13,0.4788,2.6909644676327613e-14,0.9051,8.360991124298369e-85,225
2021/2022,Epee,Womens,Senior,0.8772,2.5309502245101144e-178,0.8184,3.4529731537011544e-135,0.9431,1.254603802748698e-266,555
2022/2023,Epee,Womens,Senior,0.8648,3.6971880531732735e-236,0.8581,1.2960323984558151e-228,0.9603,0.0,784
2023/2024,Epee,Womens,Senior,0.8671,4.149151762781705e-220,0.8331,2.212960703723329e-187,0.9681,0.0,722
2024/2025,Epee,Womens,Senior,0.8624,4.264316048102416e-246,0.8451,1.3238540958735554e-226,0.9551,0.0,827
2025/2026,Epee,Womens,Senior,0.83,6.339090486995175e-234,0.7974,1.1706770147453426e-202,0.9527,0.0,916
2015/2016,Epee,Womens,Veterans,0.8401,2.3841222684814516e-21,0.872,1.1670027147606787e-24,0.9246,9.728652931174285e-33,76
2016/2017,Epee,Womens,Veterans,0.8087,9.267040638478072e-22,0.8029,2.9795668087760262e-21,0.8906,1.6323143921769598e-31,89
